time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,train/approx_kl,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/loss
1,353.8666666666667,2351.823,122880,21,5645,,,,,,,,,,
2,360.93333333333334,2755.5999,245760,225,1088,0.08855163,0.2,-0.72467577147608,0.7039813697338104,0.0002,0.19117337242806873,-0.004543740790607747,12130,0.22631591796875,0.03151629865169525
3,342.0,2521.7493,368640,428,859,0.08801969,0.2,-0.7233606135332957,0.6998100578784943,0.0002,0.19436283776633598,-0.005093952786828595,12140,0.22149251302083334,0.03437267988920212
4,419.6,2476.5999,491520,632,777,0.09615579,0.2,-0.7263061727102225,0.8962153419852257,0.0002,0.15411356263779452,-0.006643776739025877,12150,0.22401041666666666,0.0006641093641519547
5,375.0,2597.1335,614400,832,738,0.08417603,0.2,-0.7330689232144505,0.8997897356748581,0.0002,0.08349922381394814,-0.007085884566592237,12160,0.2249462890625,-0.013877948746085167
6,379.46666666666664,2711.6997,737280,1032,714,0.08923583,0.2,-0.7270545724888021,0.8565134555101395,0.0002,0.13952824052326226,-0.004480510416688049,12170,0.22435791015625,0.057418342679739
7,318.8666666666667,2483.4604,860160,1256,684,0.09225381,0.2,-0.7300716533636054,0.9134603887796402,0.0002,0.2543918273244829,-0.007357680483449561,12180,0.22933430989583334,0.02345668151974678
8,385.1333333333333,2953.5237,983040,1455,675,0.08776119,0.2,-0.7176914395267765,0.8758264482021332,0.0002,0.1066496138513321,-0.006602474861768618,12190,0.22198974609375,0.01758657395839691
9,392.73333333333335,2948.4521,1105920,1659,666,0.089525774,0.2,-0.7093528997618705,0.8944672271609306,0.0002,0.11933288740333713,-0.005709675944235642,12200,0.224326171875,-0.00043141841888427734
